지역,시설명,시설유형,시설주소,시설규모,운영기관,시설운영상태,시설종류,운영시간_평일,운영시간_주말,시설사용료,시설대관여부,시설편의시설,주차정보,연락처,홈페이지,Latitude,Longitude
관악구,난우공원 테니스장,공공체육시설,서울특별시 관악구 신림동 산 124-6,"테니스 코트 2면 (1,300㎡)",관악구청 문화관광체육과,운영,테니스장,08:00~20:00,08:00~20:00,"평일 : 8,000원 주말 : 10,400원 * 회원제로 이용 가능",가능,"샤워실, 탈의실, 락커룸",주차 가능,02-855-7708,http://www.gwanak.go.kr/site/gwanak/gis/Gis_View.do?gubun=CULTURE&mtIdx=MT00002406,37.4775809,126.9223567
마포구,난지천인조잔디축구장,공공체육시설,서울특별시 마포구 상암동 1538,"국제공인축구장(102m×66m) / 면적 8,510㎡",마포구시설관리공단,운영,축구장,"하절기 06:00~22:00, 동절기 08:00-22:00","하절기 06:00~22:00, 동절기 08:00-22:00 ","(2시간 기준) 평일 : 55,000원 주말 및 공휴일 : 71,500원",가능,"화장실, 관람석, 가림막",난지천공원 주차장에 주차 가능 5분당 150원 (431면),02-3153-9874,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S181224154723866829,37.5711557,126.8873916
마포구,난지한강공원 X게임장,공공체육시설,서울특별시 마포구 한강난지로 162,X게임장 1개소,한강사업본부,운영,기타,00:00~24:00,00:00~24:00,-,불가능,"화장실, 매점, 음수대, 그늘막","난지1,2,3주차장 이용 (총 900면) 최초 30분 1,000원, 초과 10분당 200원",02-3780-0611,https://hangang.seoul.go.kr/archives/46777,37.5627256,126.8851826
마포구,난지한강공원 농구장,공공체육시설,서울특별시 마포구 한강난지로 162,농구장 1면,한강사업본부,운영,농구장,"동절기 07:00~17:00, 하절기 06:00~20:00","동절기 07:00~17:00, 하절기 06:00~20:00","(2시간 기준) 4,000원 * 월 이용 요금 : 75,000원",가능,"화장실, 매점, 음수대, 그늘막","난지1,2,3주차장 이용 (총 900면) 최초 30분 1,000원, 초과 10분당 200원 ",02-3780-0611,https://hangang.seoul.go.kr/archives/46777,37.5627256,126.8851826
마포구,난지한강공원 야구장,공공체육시설,서울특별시 마포구 한강난지로 162,"야구장 2면 (천연잔디, 98x122)",한강사업본부,운영,야구장,07:00~19:00,07:00~19:00,"(3시간 기준) 80,000원",가능,"화장실, 매점, 음수대, 그늘막","난지1,2,3주차장 이용 (총 900면) 최초 30분 1,000원, 초과 10분당 200원",02-3780-0611,https://hangang.seoul.go.kr/archives/2413,37.5627256,126.8851826
마포구,난지한강공원 인라인스케이트장,공공체육시설,서울특별시 마포구 한강난지로 162,인라인스케이트장 1개소,한강사업본부,운영,기타,00:00~24:00,00:00~24:00,-,불가능,"화장실, 매점, 음수대, 그늘막","난지1,2,3주차장 이용 (총 900면) 최초 30분 1,000원, 초과 10분당 200원",02-3780-0611,https://hangang.seoul.go.kr/archives/46777,37.5627256,126.8851826
마포구,난지한강공원 자전거공원,공공체육시설,서울특별시 마포구 한강난지로 162,"MTB 코스장 : 5,425㎡, 익스트림장 : 4,397㎡, 어린이자전거교육장 : 2,500㎡",한강사업본부,운영,기타,00:00~24:00,00:00~24:00,-,불가능,"화장실, 매점, 음수대, 그늘막","난지1,2,3주차장 이용 (총 900면) 최초 30분 1,000원, 초과 10분당 200원",02-3780-0611,https://hangang.seoul.go.kr/archives/46777,37.5627256,126.8851826
마포구,난지한강공원 족구장,공공체육시설,서울특별시 마포구 한강난지로 162,-,-,운영,족구장,"동절기 07:00~17:00, 하절기 06:00~20:00","동절기 07:00~17:00, 하절기 06:00~20:00","(2시간 기준) 4,000원 * 월정기 요금 : 75,000원",가능,"화장실, 매점, 음수대, 그늘막","난지1,2,3주차장 이용 (총 900면) 최초 30분 1,000원, 초과 10분당 200원",-,https://hangang.seoul.go.kr/archives/2413,37.5627256,126.8851826
마포구,난지한강공원 풋살경기장,공공체육시설,서울특별시 마포구 한강난지로 162,풋살경기장 1면,한강사업본부,운영,풋살장,"동절기 07:00~17:00, 하절기 06:00~20:00","동절기 07:00~17:00, 하절기 06:00~20:00",-,불가능,"화장실, 매점, 음수대, 그늘막","난지1,2,3주차장 이용 (총 900면) 최초 30분 1,000원, 초과 10분당 200원",02-3780-0611,https://hangang.seoul.go.kr/archives/46777,37.5627256,126.8851826
관악구,남부초등학교,학교체육시설,서울특별시 관악구 남부순환로163길 14,"체육장 8,106㎡",남부초등학교,운영,초등학교,"06:00~07:30, 16:30~일몰 시까지 (동절기는 17시까지)","토요일 06:00~07:30, 13:00~일몰 시까지 (동절기는 17시까지)","체육관 : 15,000~60,000원 운동자 : 15,000~100,000원 ",가능,"샤워실, 탈의실, 창고",주차 불가,02-857-5032,https://seoulnambu.sen.es.kr/,37.4848898,126.9221483
중구,남산타운문화체육센터,공공체육시설,서울특별시 중구 다산로 32,"지하 2층, 지상 5층",중구시설관리공단,운영,생활체육관,06:00~22:00,"주말 09:00~18:00 / 둘째 주, 넷째 주 일요일 및 공휴일 휴관","헬스 : 40,000-45,000원 요가 : 30,000-40,000원 필라테스 : 35,000-40,000원",불가능,"샤워실, 탈의실, 개인사물함",주차 가능,02-2280-8480,https://www.e-junggu.or.kr/fmcs/275,37.5490132,127.0092806
서초구,내곡동체육시설,공공체육시설,서울특별시 서초구 신흥말길 23-5,마사토 1면 (900㎡),서초구청,운영,기타,06:00~22:00,06:00~22:00,"(1시간 기준) 평일 : 4,000원 주말 및 공휴일 : 5,000원",가능,"샤워실, 탈의실, 휴게실",주차 가능,02-451-4777,https://www.seocho.go.kr/site/seocho/04/10405021500002015072810.jsp,37.4584843,127.0822365
서초구,내곡동체육시설 테니스장,공공체육시설,서울특별시 서초구 신흥말길 23-5,"하드코트 6면 (3,419㎡)",서초구청,운영,테니스장,06:00~22:00,06:00~22:00,"(1시간 기준)  평일 :  6,000원 주말 및 공휴일 : 8,000원 ",가능,"샤워실, 탈의실, 휴게실",주차 가능,02-451-4777,https://www.seocho.go.kr/site/seocho/04/10405021500002015072810.jsp,37.4584843,127.0822365
동작구,노들나루공원 족구장,공공체육시설,서울특별시 동작구 노량진로 247,족구장 실외 코트 1면 (30m X 15m),동작구시설관리공단,운영,족구장,06:00~22:00,06:00~22:00,무료,가능,편의시설 없음,주차 가능,02-820-1321,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S230126151436934717,37.5137203,126.9536145
동작구,노들나루공원 축구장,공공체육시설,서울특별시 동작구 노량진로 247,"4,267㎡",동작구시설관리공단,운영,축구장,06:00~22:00,06:00~22:00,무료,가능,편의시설 없음,주차 가능,02-820-1321,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S230126133922876652,37.5137203,126.9536145
동작구,노량진근린공원,공공체육시설,서울특별시 동작구 여의대방로36길 71,"416,031㎡",동작구청,운영,기타,00:00-24:00,00:00~24:00,무료,불가능,"화장실, 음수대",주차 불가,02-820-9842,https://parks.seoul.go.kr/parks/detailView.do?pIdx=57,37.5074717,126.9274724
동작구,노량진근린공원 게이트볼장 (고구동산),공공체육시설,서울특별시 동작구 매봉로6길 16,게이트볼장,동작구청 공원녹지과,운영,게이트볼장,00:00~24:00,00:00~24:00,무료,불가능,"화장실, 음수대",주차 가능,02-820-9842,https://parks.seoul.go.kr/parks/detailView.do?pIdx=57,37.5082897,126.9543963
동작구,노량진근린공원 게이트볼장 (대방),공공체육시설,서울특별시 동작구 여의대방로44길 39,게이트볼장,동작구청 공원녹지과,운영,게이트볼장,00:00~24:00,00:00~24:00,무료,불가능,"화장실, 음수대",주차 가능,02-820-9842,https://parks.seoul.go.kr/parks/detailView.do?pIdx=57,37.510075,126.9280892
동작구,노량진근린공원 배드민턴장,공공체육시설,서울특별시 동작구 노량진동 325-2,배드민턴 코트 2면,동작구청 공원녹지과,운영,배드민턴장,00:00~24:00,00:00~24:00,무료,불가능,"화장실, 음수대",주차 불가,02-820-9842,https://parks.seoul.go.kr/parks/detailView.do?pIdx=57,37.50872,126.9437537
동작구,노량진근린공원 테니스장,공공체육시설,서울특별시 동작구 여의대방로36길 71,테니스코트 5면,동작구청 공원녹지과,운영,테니스장,00:00~24:00,00:00~24:00,"8,000-10,400원",가능,"화장실, 음수대",주차 가능,02-820-9842,https://parks.seoul.go.kr/parks/detailView.do?pIdx=57,37.5074717,126.9274724
노원구,노원구민체육센터,공공체육시설,서울특별시 노원구 노원로22길 1,"지하 1층, 지상 3층",노원구서비스공단,운영,생활체육관,평일 05:00~23:00,"토요일 05:00~22:00, 일요일 및 공휴일 09:00~18:00",운영 프로그램에 따라 이용 요금 상이,불가능,샤워실,주차 가능 (72면)  10분당 300원,2289-6815,https://www.nowonsc.kr/fmcs/73,37.6486645,127.0710937
노원구,노원구민체육센터 수영장,공공체육시설,서울특별시 노원구 노원로22길 1,"성인풀 5레인, 어린이풀",노원구서비스공단,운영,수영장,05:00~23:00,"토요일 05:00~22:00, 일요일 및 공휴일 09:00~18:00",운영 프로그램에 따라 이용 요금 상이,불가능,"샤워실, 탈의실",주차 가능 (72면)  10분당 300원,02-2289-6700,https://www.nowonsc.kr/fmcs/73,37.6486645,127.0710937
노원구,노해근린공원 족구장,공공체육시설,서울특별시 노원구 노원로22길 1,족구장 (393㎡),노원구청 여가도시과,운영,족구장,09:00~18:00,08:00~19:00,"(2시간 기준) 주중 : 28,000원 / 주말 : 36,400원",가능,"화장실, 파고라, 정자",주차 불가,02-2116-3932,https://www.nowon.kr/www/info/info4/info4_01/info4_01_09.jsp,37.6486645,127.0710937
노원구,노해근린공원 축구장,공공체육시설,서울특별시 노원구 노원로22길 1,"축구장 (5,600㎡)",노원구청 여가도시과,운영,축구장,09:00~18:00,08:00~19:00,"주중 : 28,000원 / 주말 : 36,400원",가능,"화장실, 파고라, 정자 ",주차 불가,02-2116-3932,https://www.nowon.kr/www/info/info4/info4_01/info4_01_09.jsp,37.6486645,127.0710937
강남구,논현초등학교,학교체육시설,서울특별시 강남구 강남대로120길 33,"4,640㎡",논현초등학교,휴관,초등학교,"06:00~08:00, 17:30~20:00","토요일 06:00~08:00, 13:00~20:00",운동장 및 체육관 미개방 (21.12.06 기준),가능,-,주차 불가,02-514-6636,https://nonhyun.sen.es.kr/,37.5082167,127.0263166
강동구,능골근린공원 농구장,공공체육시설,서울특별시 강동구 고덕로80길 134,농구장 1면,강동구청 푸른도시과,운영,농구장,00:00~24:00,00:00~24:00,-,불가능,"화장실, 휴게시설, ",주차 불가,02-3425-6440,-,37.5514935,127.1613
도봉구,다락원체육공원,공공체육시설,서울특별시 도봉구 창포원로 45,"인조잔디 축구장 1면 (8,030㎡) / 테니스장 3면(1,949.30㎡) / 배드민턴장 14면 (2,019.50㎡)",도봉구시설관리공단,운영,기타,06:00~22:00,명절 연휴 및 근로자의 날 휴장 (축구장 제외),운영 프로그램 별 이용 요금 상이,가능,"샤워실, 탈의실, 매점, 스포츠용품점",주차 가능 (63면),02-901-5199,https://yeyak.dobongsiseol.or.kr/rent/guide.php?c_id=05&page_info=guide&n_type=rent&c_ox=0,37.6915543,127.0468249
노원구,당고개배드민턴장,공공체육시설,서울특별시 노원구 상계로 273,"배드민턴 코트 7면 (1,546㎡)",노원구서비스공단,운영,배드민턴장,06:00~22:00,06:00~22:00,"평일 : 성인 2,000원 / 청소년 1,500원 주말 : 성인 2,600원 / 청소년 1,900원",가능,"샤워실, 탈의실, 휴게실, 락커룸",주차 무료 주차 공간이 협소하므로 대중 교통 이용 권장,02-2289-6864,https://www.nowonsc.kr/fmcs/92,37.6686765,127.07573
관악구,당곡고등학교,공공체육시설,서울특별시 관악구 봉천로21길 108,"체육장 7,3407,340",당곡고등학교,운영,고등학교,미개방,10:00~12:00,-,가능,-,주차 불가,02-6717-5200,http://danggok.sen.hs.kr/index.do,37.4919819,126.9345212
관악구,당곡중학교,공공체육시설,서울특별시 관악구 봉천로13길 101,"체육장 12,536㎡",당곡중학교,운영,중학교,"06:00~07:30, 16:30~일몰 시까지",주말 및 공휴일 06:00~일몰 시까지,"체육관 : 15,000~60,000원 운동장 : 20,000~100,000원",가능,-,주차 불가,02-870-7700,http://danggok.sen.ms.kr/index.do,37.491931,126.9331503
노원구,당현초등학교,학교체육시설,서울특별시 노원구 상계동 동일로213길 52,"체육장 3,757㎡ ",당현초등학교,운영,초등학교,"06:00~07:30, 16:30~일몰 시까지","토요일 06:00~07:30, 14:00~일몰 시까지","체육관 : 15,000~60,000원 운동장 : 20,000~100,000원",가능,"샤워실, 탈의실, 창고",주차 불가,02-932-0605,http://danghyeon.sen.es.kr/index.do,37.6486335,127.0583815
영등포구,대림운동장 농구장,공공체육시설,서울특별시 영등포구 가마산로31길 16,농구장 1면,영등포구청 문화체육과,운영,농구장,06:00-22:00,※ 시설 문의 요망,무료,불가능,"화장실, 스탠드, 그늘막",주차 가능 (총 192면) 지하에 있는 공영주차장 이용,02-2670-4096,https://www.ydp.go.kr/www/contents.do?key=2919&,37.4996894,126.8947038
영등포구,대림운동장 인조잔디구장,공공체육시설,서울특별시 영등포구 가마산로31길 16,인조잔디 축구장 105m×70m,영등포구청 문화체육과,운영,축구장,08:00~18:00,08:00~18:00,"(2시간 기준)  40,000원  ",가능,"화장실, 그늘막",주차 가능 (총 192면) 지하에 있는 공영주차장 이용,02-2670-4096,https://www.ydp.go.kr/www/contents.do?key=2919&,37.4996894,126.8947038
영등포구,대림운동장 테니스장,공공체육시설,서울특별시 영등포구 가마산로31길 16,클레이 코트 3면,영등포구청 문화체육과,운영,테니스장,06:00~22:00,06:00~22:00,-,가능,"화장실, 스탠드, 그늘막",대림역 5번 출구에서 도보 약 10분 거리에 있는 영등포구시설관리공단에서 운영 중인 지하주차장 이용 (총 192면) * 주차문의 : 010-4697-4687,02-2670-4096,https://www.ydp.go.kr/www/contents.do?key=2919&,37.4996894,126.8947038
영등포구,대림체육공원 배드민턴장,공공체육시설,서울특별시 영등포구 도신로 1-16,코트 2면,영등포구청,휴관,배드민턴장,06:00-22:00,※ 시설 문의 요망,무료,불가능,"스탠드, 화장실, 그늘막",대림운동장 공영주차장 이용,2670-3114,https://www.ydp.go.kr/www/contents.do?key=2919&,37.5041225,126.8948226
강남구,대왕초등학교,학교체육시설,서울특별시 강남구 헌릉로618길 8,"체육장 1,836㎡",대왕초등학교,운영,초등학교,17:00~18:00,"토요일 13:00~18:00, 일요일 및 공휴일 09:00~18:00","(1시간 기준) 체육관 : 6,000~20,000원 운동장 : 20,000~100,000원 ",가능,-,주차 불가,02-3412-0122,http://www.daewang.es.kr/,37.4644284,127.1055381
도봉구,대우스포츠센터,공공체육시설,서울특별시 도봉구 덕릉로63가길 61,지상 3층,대우스포츠센터,운영,생활체육관,06:00~23:00,"토요일 07:00~18:00, 일요일 휴관 / 공휴일 10:00~15:00",운영 프로그램에 따라 이용 요금 상이,가능,"샤워실, 탈의실, 매점",주차 가능,02-904-9633,http://www.daewoosports.com/default/,37.6423702,127.0375315
도봉구,대우스포츠센터 수영장,공공체육시설,서울특별시 도봉구 덕릉로63가길 61,성인풀 5레인,대우스포츠센터,운영,수영장,06:00~23:00,"토요일 07:00~17:50, 일요일 휴관 / 공휴일 10:00~17:00",운영 프로그램에 따라 이용 요금 상이,불가능,"샤워실, 탈의실, 매점",주차 가능,02-904-9633,http://www.daewoosports.com/default/index.php,37.6423702,127.0375315
강남구,대진체육관,공공체육시설,서울특별시 강남구 개포로 109길 62,지상 1층,강남구도시관리공단,운영,생활체육관,06:00~22:00,주말 및 공휴일 휴관,운영 프로그램에 따라 이용 요금 상이,불가능,"샤워실, 탈의실",주차 불가,02-2176-0880,https://life.gangnam.go.kr/fmcs/106,37.495583,127.0786036
강남구,대치유수지체육공원,공공체육시설,서울특별시 강남구 역삼로107길 20-30,배드민턴 겸 족구장 : 11mx35m 테니스장 : 11mx24m 축구 : 108mx72m 농구장 : 15mx28m,대치유수지체육공원,운영,기타,07:00~21:00,07:00~21:00,운영 시설에 따라 이용 요금 상이,가능,편의 시설 없음,주차장 없음 (예약자에 한해 노상 공영주차장 할인 도장 적용),02-2051-2285,http://www.대치유수지.kr/?act=main,37.504319,127.0680509
성동구,대현산체육관,공공체육시설,서울특별시 성동구 독서당로 63길 44,배드민턴 코트 6면 (830.8㎡),성동구도시관리공단,운영,배드민턴장,06:00~22:00,"06:00~22:00 / 매월 둘째 주, 넷째 주 월요일 및 설날, 추석 연휴 휴관","(2시간 기준) 평일 : 2,500원 주말 및 공휴일 : 3,000원 1개월 : 36,000원 1코트대관 : 15,000원/1시간",가능,"휴게실, 개인사물함, 전망대, 옥탑",인근의 응봉동 공영주차장 이용 가급적 대중교통 이용,02-2292-7665,https://sports.happysd.or.kr/fmcs/146,37.5541846,127.0298242
강남구,도곡스포츠센터,공공체육시설,서울특별시 강남구 선릉로64길 33,"지하 2층, 지상 3층",강남구도시관리공단,운영,생활체육관,06:00~22:50,06:00~22:50,운영 프로그램에 따라 이용 요금 상이,가능,"샤워실, 탈의실, 제과점, 카페",주차 가능  회원에 한해 3시간 무료,02-563-6777,http://dogoksports.com/,37.4990608,127.0546706
강남구,도곡스포츠센터,공공체육시설,서울특별시 강남구 선릉로64길 33 (수영장),"성인풀(25m) 6레인, 유아풀",강남구도시관리공단,운영,수영장,06:00~22:50,06:00~22:50,운영 프로그램에 따라 이용 요금 상이,불가능,"샤워실, 탈의실, 전망대, 제과점, 카페",주차 가능  회원에 한해 3시간 무료,02-563-6777,-,37.4990608,127.0546706
서초구,도구머리공원 배드민턴장,공공체육시설,서울특별시 서초구 방배중앙로3길 32,배드민턴코트 (면적 330㎡),서초구청 공원녹지과,운영,배드민턴장,05:00~21:00,05:00~21:00,무료,불가능,"화장실, 정자, 음수대",주차 불가,02-2155-6880,https://www.seocho.go.kr/site/seocho/04/10405021300002015070704.jsp,37.4808274,126.9904099
강남구,도담어린이공원 배드민턴장,공공체육시설,서울특별시 강남구 헌릉로569길 46-13,배드민턴 코트 3면,강남구청 공원녹지과,운영,배드민턴장,00:00~24:00,00:00~24:00,-,불가능,-,별도의 주차 시설 없음,02-3423-6262,-,37.4685087,127.0967542
영등포구,도림2동유수지내체육시설 농구장,공공체육시설,서울특별시 영등포구 대방천로 29-18,농구장 1면,영등포구시설관리공단,운영,농구장,06:00~22:00,06:00~22:00,-,불가능,"샤워실, 탈의실, 락커룸",주차 불가,02-2670-3858,https://www.ydp.go.kr/www/index.do,37.5066677,126.8974129
영등포구,도림2동유수지내체육시설 배드민턴장,공공체육시설,서울특별시 영등포구 도신로15길 5,"배드민턴 코트 12면 (지상 3층, 면적 2,999㎡)",영등포구시설관리공단,운영,배드민턴장,06:00~22:00,08:00~16:00 / 공휴일 휴관,운영 프로그램에 따라 이용 요금 상이,가능,"샤워실, 탈의실, 주차장",주차가능 (50면) 체육관 이용회원은 4시간 무료 4시간 초과 시 5분당 150원 부과,02-2630-2984,https://www.y-sisul.or.kr/mod.asp?m=business&s=g00,37.5066677,126.8974129
영등포구,도림2동유수지내체육시설 족구장,공공체육시설,서울특별시 영등포구 대방천로 29-18,족구장 1면,영등포구시설관리공단,운영,족구장,06:00~22:00,06:00~22:00,무료,불가능,"샤워실, 탈의실, 개인사물함",주차 불가,02-2670-3858,https://www.ydp.go.kr/www/index.do,37.5066677,126.8974129
도봉구,도봉구민회관,공공체육시설,서울특별시 도봉구 도봉로 552,"지하 1층, 지상 4층",도봉구시설관리공단,운영,생활체육관,06:00-22:00,09:00-17:00 / 홀수 주 일요일 및 공휴일 휴관,운영 프로그램 별 이용 요금 상이,불가능,"대강당, 예식홀, 갤러리, 도서관, 휴게실, 모유수유실 ","주차 가능 (총 65면) 평일 09:00~18:00 유료 / 18시 이후 무료 최초 60분 무료, 이후 5분당 250원",02-901-5160,http://www.dobongsiseol.or.kr/index_hall.html,37.6541023,127.0386268
도봉구,도봉구청부설실내체육관,공공체육시설,서울특별시 도봉구 마들로 656,638.1㎡ (약 207평),도봉구시설관리공단,운영,생활체육관,10:00~18:00,10:00~21:00. / 공휴일 휴관,"2시간 기준 평일 : 44,000원 주말 : 57,200원",가능,"경기용 펜스, 스코어 보드 ","도봉구청 주차장 이용 1시간 무료 2시간 3,000원 4시간 9,000원",02-2091-5491,https://www.dobongsiseol.or.kr/contents/culture4.html?menu1=3&menu2=1&menu3=1,37.6687055,127.0471
도봉구,도봉구청부설체력단련실,공공체육시설,서울특별시 도봉구 마들로 656,면적 343.2㎡ (약 104평),도봉구시설관리공단,운영,생활체육관,09:30~17:30,주말 및 공휴일 휴관,"1개월 : 22,000원 3개월 : 66,000원",불가능,"샤워실, 탈의실, 개인사물함","도봉구청 주차장 이용 1시간 무료 2시간 3,000원 4시간 9,000원",02-2091-5491,https://www.dobongsiseol.or.kr/contents/culture4.html?menu1=3&menu2=1&menu3=1,37.6687055,127.0471
도봉구,도봉동다목적체육센터 게이트볼장,공공체육시설,서울특별시 도봉구 도봉로180길 84,게이트볼장 1개소,도봉구게이트볼협회,운영,게이트볼장,00:00~24:00,00:00~24:00,무료,불가능,-,주차 가능,02-2289-8578,-,37.6824302,127.0484781
도봉구,도봉동실내스포츠센터,공공체육시설,서울특별시 도봉구 마들로 805,지상 3층 (건물 면적 5.724.52㎡),도봉구시설관리공단,운영,생활체육관,06:00~22:00,09:00~18:00,운영 프로그램에 따라 이용 요금 상이,가능,"샤워실, 탈의실, 의무실, 전망대","주차 가능 (44면) 비회원 30분 무료, 이후 5분당 100원 이용 프로그램 당 3시간 (치대 6시간) 무료 주차 ",02-900-5000,https://www.dobongsiseol.or.kr/index_msport.html,37.6813861,127.0502911
도봉구,도봉동실내스포츠센터 수영장,공공체육시설,서울특별시 도봉구 마들로 805,"성인풀(25m) 5레인, 유아풀 ",도봉구시설관리공단,운영,수영장,평일 06:00~22:00,주말 09:00~18:00,운영 프로그램에 따라 이용 요금 상이,가능,"샤워실, 탈의실, 체온회복실, 의무실, 전망대","주차 가능 (44면) 비회원 30분 무료, 이후 5분당 100원 이용 프로그램 당 3시간 (치대 6시간) 무료 주차",02-901-5000,https://www.dobongsiseol.or.kr/index_msport.html,37.6813861,127.0502911
도봉구,도봉실내배드민턴장,공공체육시설,서울특별시 도봉구 마들로 805,배드민턴 코트 7면 (942㎡),도봉구시설관리공단,운영,배드민턴장,06:00~21:00,06:00~21:00,운영 프로그램에 따라 이용 요금 상이,가능,"샤워실, 탈의실",주차 가능 (20면),02-901-5180,https://www.dobongsiseol.or.kr/,37.6813861,127.0502911
도봉구,도봉실내수영장,공공체육시설,서울특별시 도봉구 도봉로 180 나길41,"지하 2층, 지상 4층 / 수영장935.19㎡ (약 283평) / 성인풀(25m) 6레인, 유아풀(10m) 2레인",도봉구시설관리공단,휴관,수영장,06:00~22:00,"토요일 08:00~18:00, 일요일 09:00~18:00","평일 성인 : 4,000원 / 청소년 : 2,800원 / 어린이 : 2,500원          주말 성인 : 5,200원 / 청소년 : 3,600원 / 어린이 : 3,300원",불가능,"샤워실, 탈의실",운영시간 06:00~22:00 주차 공간이 협소하므로 대중교통 이용 요망,02-901-5170,https://www.dobongsiseol.or.kr/swim/,37.6857362,127.0480605
도봉구,도봉중학교,학교체육시설,서울특별시 도봉구 도봉동 마들로 671,"체육장 4,368㎡",도봉중학교,휴관,중학교,19:00~22:00,"토요일 13:00~22:00, 일요일 휴관","체육관 : 10,000~60,000원 운동장 : 20,000~100,000원",가능,"샤워실, 탈의실, 창고",주차 불가,02-954-4117,https://dobong.sen.ms.kr/,37.6704528,127.0456727
도봉구,도봉초등학교,학교체육시설,서울특별시 도봉구 도봉로173길 96,"체육장 8,603㎡",도봉초등학교,운영,초등학교,미개방,06:00~22:00,"체육관 : 15,000~60,000원 운동장 : 20,000~100,000원",가능,-,주차 불가,02-6011-3120,http://dobong.sen.es.kr/index.do,37.6793606,127.0383592
금천구,독산고등학교,학교체육시설,서울특별시 금천구 문성로 64,"2,400㎡ ",독산고등학교,운영,고등학교,"06:00~07:00, 17:00~21:00 , 16:30~18:00(탁구실)","토요일 06:00~07:20, 16:00~21:00, 14:00~18:00(탁구실)","체육관 : 15,000~60,000원 운동장 : 15,000~100,000원 탁구실 : 시간 당 15,000원",가능,"샤워실, 탈의실, 창고",주차 불가,02-857-6248,https://doksan.sen.hs.kr/,37.4761787,126.9109257
금천구,독산근린공원 배드민턴장,공공체육시설,서울특별시 금천구 범안로 1096,배드민턴 코트 5면,금천구시설관리공단,운영,배드민턴장,00:00~24:00,00:00~24:00,-,불가능,"화장실, 휴게시설","하안동상업지역 제1노상공영주차장 이용  30분 600원, 1시간 1,000원",02-2627-2341,-,37.4636729,126.8841433
금천구,독산근린공원 축구장,공공체육시설,서울특별시 금천구 독산1동 1086번지,인조잔디 축구장 1면 (91m×56m),금천구시설관리공단,운영,축구장,06:00~18:00,06:00~18:00,"평일 : 60,000원 주말 및 ,공휴일 : 78,000원",가능,"샤워실, 탈의실, 선수대기실",주차 불가,02-809-1912,https://www.geumcheon.go.kr/portal/contents.do?key=983,37.470184,126.8970357
금천구,독산배드민턴체육관,공공체육시설,서울특별시 금천구 독산로54길 102-82,"지하 1층, 지상 1층 (1,279㎡) / 코트 9면",금천구청,휴관,배드민턴장,06:00~22:30,토요일 : 06:00~22:30 일요일 : 06:00~20:00,"일일이용 : 2,000~3,000원 (1인 3시간 기준) 월정액 : 30,000원",불가능,탈의실,주차 가능,02-2627-1465,https://www.geumcheon.go.kr/portal/contents.do?key=986,37.4664219,126.9087003
금천구,독산어르신체육센터,공공체육시설,서울특별시 금천구 독산로54길 279,지상 2층,금천구시설관리공단,운영,생활체육관,09:00~17:00,주말 및 공휴일 휴관,운영 프로그램에 따라 이용 요금 상이,불가능,"샤워실, 탈의실, 락커룸",주차 가능,02-853-9271,http://www.gfmc.kr/business2_07.html,37.4744322,126.9057915
금천구,독산테니스장,공공체육시설,서울특별시 금천구 독산로54길 288,"5,080㎡ (약 1,500평 규모) / 코트 6면 / 관리시설 3동 / 라이트 시설",금천구시설관리공단,휴관,테니스장,06:00~22:00 (연중무휴),06:00~22:00 (연중무휴),"평일 주간 : 2,000원 / 야간 : 4,000원      주말 및 공휴일 주간 : 5,000원 / 야간 : 7,000원 월정액 주간 : 20,000원 / 야간 : 30,000원",불가능,편의시설 없음,주차 가능,02-2627-1465,https://www.geumcheon.go.kr/portal/contents.do?key=985,37.4747701,126.9068876
성북구,돈암문화스포츠센터,공공체육시설,서울특별시 성북구 동소문로13길 38,-,한국스포터,운영,생활체육관,06:00~23:00,"토요일 06:00~18:00, 공휴일 09:00~17:00",운영 프로그램에 따라 이용 요금 상이,불가능,"샤워실, 탈의실, 락커룸, 개인사물함 ",주차 공간이 협소하므로 대중교통 이용,02-922-9026,http://www.korspo.co.kr/,37.5933531,127.0129865
성북구,돈암문화스포츠센터 수영장,공공체육시설,서울특별시 성북구 동소문로13길 38,"성인풀(25m) 6레인, 유아풀",한국스포터,운영,수영장,06:00~23:00,"토요일 06:00~18:00, 공휴일 09:00~17:00",운영 프로그램에 따라 이용 요금 상이,가능,"샤워실, 탈의실, 락커룸, 개인사물함",주차 공간이 협소하므로 대중교통 이용,02-922-9026,http://www.korspo.co.kr/,37.5933531,127.0129865
성북구,돈암초등학교,학교체육시설,서울특별시 성북구 동소문로13길 38,"체육장 13,837㎡",돈암초등학교,운영,초등학교,"07:00~08:00, 17:00~일몰 시까지",일요일 및 공휴일 07:00~일몰 시까지,"(1시간 기준) 체육관 : 6,000~20,000원 운동장 : 20,000~50,000원",가능,-,주차 불가,02-928-2010,https://donam.sen.es.kr/,37.5933531,127.0129865
